Time Step,Average Wealth,Gini Coefficient,Average Competence
1,106.27537597001299,0.09461163422010728,16.48975482886008
2,114.27537597001302,0.04962535645730043,8.254178928947788
3,122.27537597001303,0.026157509712027148,7.111207111006402
4,130.27537597001302,0.013846887726967481,6.8487039529663365
5,138.27537597001302,0.007357813272845419,6.771512037220358
6,146.27537597001304,0.003922848093114623,6.7452530791573615
7,154.27537597001302,0.002097757123665076,6.73534461707866
8,162.275375970013,0.0011248077448298944,6.731306686219659
9,170.27537597001302,0.0006045861278329311,6.72957221970546
10,178.275375970013,0.0003256850091035801,6.728801585613696
11,186.27537597001302,0.00017579753667874344,6.728451872999942
12,194.27537597001304,9.50669541666116e-05,6.728291053445008
13,202.27537597001313,5.149717730304815e-05,6.7282164553158985
14,210.27537597001304,2.7939403369003914e-05,6.728181641779846
15,218.27537597001307,1.5180284291034241e-05,6.728165319822958
16,226.27537597001313,8.258980842015262e-06,6.728157638278434
17,234.27537597001316,4.499002291566967e-06,6.728154011094957
18,242.27537597001304,2.453650410529917e-06,6.7281522931891855
19,250.27537597001316,1.3396240737506559e-06,6.728151477290437
20,258.27537597001304,7.321451123232236e-07,6.728151088787533
21,266.275375970013,4.0052374416177373e-07,6.728150903351143
22,274.27537597001293,2.1930652820856267e-07,6.7281508146427385
23,282.2753759700129,1.201834001562929e-07,6.728150772118714
24,290.2753759700128,6.591532354605079e-08,6.7281507516948
25,298.2753759700128,3.617914416054191e-08,6.7281507418678475
26,306.27537597001276,1.9872051382208156e-08,6.7281507371317595
27,314.2753759700128,1.0922537541091515e-08,6.728150734845676
28,322.27537597001265,6.007390851436867e-09,6.728150733740603
29,330.2753759700126,3.3060997850498097e-09,6.728150733205691
30,338.2753759700126,1.8205429341833225e-09,6.72815073294644
31,388.02214488097854,4.666189568069967e-10,6.728150732820638
32,368.5693008500109,2.0632356267924478e-10,6.728150732759525
33,360.39910635700454,8.862045319801836e-11,6.728150732729802
34,356.9676246699419,3.757833155759727e-11,6.728150732715332
35,355.5264023613756,1.5847234635657516e-11,6.728150732708281
36,354.9210889917777,6.66702248963702e-12,6.728150732704843
37,354.66685737654666,2.802238441290683e-12,6.728150732703162
38,354.5600800981496,1.1776535302487901e-12,6.728150732702342
39,354.5152336412228,4.949640697304858e-13,6.72815073270194
40,354.49639812931355,2.0747847884194925e-13,6.728150732701744
41,354.4884872143117,8.739675649849233e-14,6.728150732701649
42,354.4851646300109,3.652189661806915e-14,6.7281507327016
43,354.4837691446046,1.5347723092418165e-14,6.728150732701578
44,354.483183040734,6.536993168992922e-15,6.728150732701566
45,354.4829368771082,1.4210854715202005e-15,6.728150732701562
46,354.4828334883855,4.263256414560601e-16,6.728150732701558
47,354.48279006512195,5.684341886080802e-16,6.728150732701558
48,354.48277182735126,-5.684341886080802e-16,6.7281507327015575
49,354.48276416748735,-1.5631940186722204e-15,6.728150732701556
50,354.4827609503448,5.684341886080802e-16,6.728150732701556
51,354.4827595991447,1.4210854715202004e-16,6.728150732701556
52,354.4827590316408,0.0,6.728150732701556
53,354.4827587932891,8.526512829121202e-16,6.728150732701556
54,354.4827586931813,-4.263256414560601e-16,6.728150732701556
55,354.4827586511364,1.2789769243681803e-15,6.728150732701556
56,195.45257932648641,8.526512829121202e-16,6.728150732701556
57,117.75525474013834,-2.842170943040401e-16,6.728150732701556
58,73.933963673438,9.947598300641404e-16,6.728150732701556
59,49.218755511819026,1.1368683772161603e-15,6.728150732701556
60,35.27937810866594,-7.105427357601002e-16,6.728150732701556
61,27.41756925328759,-9.947598300641404e-16,6.728150732701556
62,22.98350905885419,-1.2789769243681803e-15,6.728150732701556
63,20.482699109193764,-7.105427357601002e-16,6.728150732701556
64,19.072242297585287,8.526512829121202e-16,6.728150732701556
65,18.2767446558381,5.684341886080802e-16,6.728150732701556
66,17.82808398589269,5.684341886080802e-16,6.728150732701556
67,17.57503936804347,2.842170943040401e-16,6.728150732701556
68,17.432322203576515,8.526512829121202e-16,6.728150732701556
69,17.351829722817165,2.842170943040401e-16,6.728150732701556
70,17.306431963668878,-2.842170943040401e-16,6.728150732701556
71,17.280827627509247,-2.842170943040401e-16,6.728150732701556
72,17.266386781915205,0.0,6.728150732701556
